Strategy,Ann Ret,Ann Vol,Sharpe,Max DD,Family
MSR(Ensemble_μ̂),0.16608725411801184,0.06028913103676253,2.5794640246181704,-0.05915989289074081,ML (ensemble)
VMP(MDP(LW)),0.1490878311528443,0.05808365780611213,2.4222215001683574,-0.048445164704808544,Classical
MSR(RF_μ̂),0.20891688598648783,0.08061753770142042,2.394466858453879,-0.06834761437126227,ML (single-fit)
SignalTilt(XGB),0.7067568513864679,0.2451618852762958,2.304061855831894,-0.22634999217595997,ML (single-fit)
VMP(SignalTilt(XGB)),0.7196939038829706,0.2502097147062355,2.292477590981001,-0.2051556691009184,ML + VMP
MSR(Lasso_μ̂),0.21800517548715814,0.08857671847566441,2.2715162709944305,-0.11616717048780548,ML (single-fit)
VMP(MSR(Lasso_μ̂)),0.2267118618165922,0.09253682130708525,2.2552917576174183,-0.09823741489960489,ML + VMP
SignalTilt(RF),0.6194111140824536,0.22548699992782648,2.2520024928868314,-0.32584719200424944,ML (single-fit)
VMP(SignalTilt(RF)),0.6075496924459405,0.22784483265433195,2.198938154807291,-0.28179074510842317,ML + VMP
SignalTilt(Ensemble),0.5477219758317635,0.21035937277621197,2.1827083759112735,-0.3007029498173383,ML (ensemble)
MSR(XGB_μ̂),0.07656058137103505,0.03411068697633105,2.1800399108129755,-0.026274751347843062,ML (single-fit)
VMP(MSR(RF_μ̂)),0.19573698272044893,0.08375030022186727,2.1770799252211432,-0.07154692190741885,ML + VMP
SignalTilt(Lasso),0.467216739106312,0.18746028099451845,2.139852197408594,-0.22810940690356699,ML (single-fit)
SWITCH(v2a),0.18962279790880765,0.08378947098045707,2.114334439916281,-0.05710481448346109,Classical
EW,0.22197863191803946,0.10093135809435709,2.0373184002405247,-0.1216037225623238,Classical
VMP(MSR(XGB_μ̂)),0.0750104183093665,0.036412538609134355,2.004881723728551,-0.02587506462643628,ML + VMP
VMP(SignalTilt(Lasso)),0.44864701435134924,0.19513973532655338,1.9980328433703036,-0.18446806552251752,ML + VMP
MSR(LW),0.2717601938056988,0.1329776272318986,1.8748169362782718,-0.14097831332491215,Classical
SignalTilt(mom_252),0.5009836488389761,0.25688100140087866,1.7111431039778915,-0.20866864169529156,Classical
